job_link,job_skills
https://www.linkedin.com/jobs/view/executive-assistant-svp-production-corporate-hr-at-cypress-hcm-3779709163,"Executive Assistant, Calendaring, Meeting Coordination, Conferencing, Scheduling, Expense Report Management, Filings, Problem Solving, Presentations, MS Office Suite, Advanced Excel, PowerPoint, Communication, Interpersonal Skills, Confidential Information, Time Management, Prioritization, Conflict Resolution, Flexibility, Organization, SelfStarter, Proactivity, Resourcefulness, BA/BS, Computer Skills"
https://www.linkedin.com/jobs/view/inspector-cei-at-volkert-inc-3616632709,"Engineering Technology, Survey Technology, Inspection, Testing, Construction, Layout, Contract Compliance, Specifications, Materials, Plans, Data Analysis, Data Input, Database Management, Safety, Communication, Teamwork, Initiative, Judgement, Multitasking, Problem Solving, Verbal Communication, Written Communication"
https://www.linkedin.com/jobs/view/engineering-technician-3-construction-at-state-of-nevada-division-of-human-resource-management-3806313900,"Drafting, Engineering calculations, Surveying, Materials testing, Soils testing, Construction inspection, Roadway design, Rightofway engineering, Planning, Permitting, Inspection, Water rights appropriation, Land acquisition, Technical engineering skills, Technical engineering methods, Technical engineering practices, Computer aided software, Specialized equipment, Engineering related documents, Field inspections, Field testing, Field surveying, Specifications, Quantities, Education, Experience, Degree, Transcripts, Application evaluation, Interview, A valid driver's license"
https://www.linkedin.com/jobs/view/client-relationship-consultant-4-columbia-mo-at-u-s-bank-3803732688,"Customer Relationship Management, Financial Services, Sales, Consumer Banking, Retail Banking, Digital Banking, Mortgages, Credit Applications, Customer Service, Interpersonal Skills, Communication Skills, Sales Campaigns, Digital Products, SelfService Technologies, Financial Needs Analysis, Needs Identification, Solution Recommendations, Proactive Outreach, Followup"
https://www.linkedin.com/jobs/view/box-truck-driver-f-endorsement-at-carter-lumber-3799869414,"Box Truck Driving, Customer Service, Delivery, Inventory Control, Sales, Product Knowledge, Safety, Team Work, Flexible Schedule, Building Materials Knowledge, Equipment Usage and Maintenance, Cycle Counts, Route Optimization, Highway Regulations Compliance, Safety Training, Orientation, Product Knowledge Training, Material Selection, Loading and Unloading, Yard Organization, Insurance Benefits, 401(k) Plan"
https://www.linkedin.com/jobs/view/registered-nurse-rn-ed-at-community-memorial-healthcare-3737210185,"Nursing, Emergency Medicine, BLS, ACLS, PALS, DNV, CAP, Stroke/Sepsis Education, ENPC, TNCC, CEN, BSN"
https://ca.linkedin.com/jobs/view/operations-supervisor-secured-transport-at-gardaworld-3756754436,"Operations Management, Customer Service, Leadership, Team Management, Planning, Organizing, Scheduling, Policy Implementation, Employee Training, Safety Management, Investigations, Collaboration, Budget Management, Fee and Schedule Changes, Problem Solving, Teamwork, Communication, Microsoft Office Suite, Driver's License, Health and Safety Management, WSBC Reporting, Restricted Possession and Acquisition License, Mechanical and/or Electrical Inclination, Training and Coaching"
https://www.linkedin.com/jobs/view/executive-assistant-at-university-of-miami-3758138721,"Executive support, Schedule management, Office management, Travel arrangements, Communications, Information preparation, Data management, Budget management, Report writing, Presentation creation, Project management, Event planning, Training, Supervision, University policies and procedures, Clerical work, Liaison, Administrative support, Expense management, Agenda creation, Memo writing, Letter of recommendation, Minute taking, Financial processing, Membership management, Purchase management, File management, Equipment procurement, Time approvals, Travel coordination, CME log maintenance, License and certification tracking, Compliance training, Organizational chart creation, Interview coordination, Data analysis, Hurricane preparedness, Credentialing, Dues payment, Uniform ordering, Associate's degree, 5 years of relevant experience"
https://www.linkedin.com/jobs/view/delivery-driver-at-reece-usa-3132941409,"Highquality customer service, Teamwork, Flexibility, Efficiency, Class C license, Clean background and driving record, DOT regulations, Medical and Dental Insurance, Flexible Spending Accounts, Companypaid Life Insurance, Short Term Disability, 401(k) Plan, Paid Time Off (PTO), Voluntary Benefits, Additional Life Insurance, Long Term Disability, Cancer/Accident/Heart/Stroke Insurance, Vision Insurance"
https://www.linkedin.com/jobs/view/construction-special-inspector-at-atlantic-testing-laboratories-atl-3775653377,"ACI, ICC, PCI, CWI, NETTCP, NYSDOT DTI, NYSDOT PCC, NYSDOT QC/QA, NICET"
https://uk.linkedin.com/jobs/view/warehouse-stock-control-manager-at-ideal-recruit-limited-3797206260,"Data Entry, SAP, Inventory Management, Problem Solving, Health and Safety, Proactive Approach, Communication, Multitasking, Numeracy, Literacy, IT Skills, Time Management, Efficiency Analysis, Team Player, Leadership"
https://www.linkedin.com/jobs/view/civil-engineer-at-stantec-3581624149,"Civil Engineering, AutoCAD Civil3D, EPA SWMM, EPANet/WaterCAD, Microsoft Office Suite, Leadership, Project Management, Technical Writing, Communication, Analytical Skills, ProblemSolving, Client Liaison, Business Development, Calculations, Field Work, Engineering Software, Building Codes, Specifications, Drainage Studies, Construction Field Reviews, Bachelor's degree in Engineering, Professional Engineer License, 12+ years of experience"
https://www.linkedin.com/jobs/view/business-development-manager-at-interstate-advanced-materials-3797276886,"Sales, Business Development, Plastics Industry Experience, Technical Aptitude, Prospecting, Targeting, Machined Parts, Sheet, Tube, Rod, Industrial Plastics Machining Solutions, Overnight Stays, Team Atmosphere, Advanced Material Training"
https://ca.linkedin.com/jobs/view/avocat-avocate-at-canadian-armed-forces-forces-arm%C3%A9es-canadiennes-2390048225,"Legal services, International law, Military law, Criminal law, Administrative law, Employment law, Human rights law, Legal advice, Legal representation, Negotiation, Litigation, Legal research, Legal writing, Military justice, Military operations, Military personnel, Military training, Basic military officer qualification, Second language training, Professional training, Continuing education, Parttime work, Reserve Force, Regular Force, Law degree (LL.L LL.B. or J.D.), Membership in a provincial or territorial bar association, Two years of practical experience, Fulltime legal practice in Canada, Experience evaluation, Military leadership, Military regulations and customs, Basic weapons handling, First aid, Physical fitness, Problemsolving, Communication, Teamwork, Attention to detail, Ability to work independently and as part of a team, Ability to work under pressure, Ability to meet deadlines, Strong work ethic"
https://www.linkedin.com/jobs/view/global-oil-gas-senior-catalysis-process-engineer-at-matchatalent-3799139474,"Chemical Engineering, Process Engineering, Petrochemical, Refining, Catalyst, Absorbents, Catalyst Management, Performance Monitoring, Pilot Testing, Performance Optimization, Material Handling, Process Simulation, Catalyst Selection, Technology Providers, Inventory Management, Contractual Agreements, Catalyst Evaluation, Catalyst Performance Guarantees, Precious Metals Reclamation, Field Support, Catalyst Loading, Unloading, Regeneration, Rejuvenation, PreSulfiding, Activation, Process Optimization, Troubleshooting, Cost Optimization, Bachelor's Degree, Advanced Degree, Catalysis, 10+ Years Experience, Catalytic Processes, Hydroprocessing, Reforming, Catalytic Cracking, Technology Licensors, Simulation Programs"
https://www.linkedin.com/jobs/view/member-service-representative-at-university-of-michigan-credit-union-3798986164,"Customer service, Member service, Communication skills, Problemsolving skills, Professionalism, Punctuality, Ability to use technology, Associate's degree, Two or more years of experience"
https://www.linkedin.com/jobs/view/assistant-general-manager-at-fox-restaurant-concepts-3769115077,"Restaurant management, Business operations, Financials, Scheduling, Planning, Customer service, Food knowledge, Product quality, Cleanliness, Highvolume environment, POS systems, OpenTable, Team leadership, Continuous improvement"
https://www.linkedin.com/jobs/view/customer-service-representative-at-motion-3775088836,"Customer service, Order fulfillment, Sales, Negotiation, Customer relationship management, Inventory management, Shipping, Communication, Multitasking, Time management, Computer skills, Product knowledge"
https://www.linkedin.com/jobs/view/senior-healthcare-financial-internal-auditor-at-meritus-health-3756781978,"Financial accounting, Internal auditing, Healthcare industry knowledge, Risk assessment, Internal controls, MS Office Suite, ACL, IDEA, ActiveData for Excel, Continuous Auditing Technology (CAT), GAAP, Generally Accepted Accounting Principles, CPA, CIA, CISA, Bachelor's degree in accounting, Master's degree in accounting or related field, 57 years of experience in internal auditing or public accounting/auditing, Strong organization and analytical skills, Ability to work independently and resolve or escalate issues, Proficiency with MS Office applications (Word Excel PowerPoint), Proficiency with Access and Visio (preferred)"
https://au.linkedin.com/jobs/view/account-manager-at-creative-activation-3797062776,"Account Management, Retail Customer Experience, Sales Function and Budget Control, Microsoft Suite (Excel PowerPoint), Strategic Thinking, Data Analysis and Interpretation, Communication (All Levels), Leadership, Retail Operations"
https://www.linkedin.com/jobs/view/registered-nurse-case-manager-24071709expplat-at-travelnursesource-3795405446,"Registered Nurse, Case management, Liaison RN, Acute care, NurseWallet App, NurseWallet, Cigna health insurance, Referral bonuses, License and CEU reimbursement, State License Board, Housing and relocation assistance, Travel & Salary Package, BSN preferred, Interqual experience"
https://www.linkedin.com/jobs/view/office-manager-at-step-up-for-students-3795840815,"Project management, Facilities management, Disaster planning, Site maintenance, Safety protocols, Emergency preparedness, Facilities inspections, Vendor management, Contract management, Budget management, Office safety regulations, Office maintenance regulations, IT and analytics, Communication skills, Interpersonal skills, Professionalism skills, Problemsolving, Decisionmaking, People management, Innovation, Creativity, Quality management, Risk management, Office equipment maintenance, Office furniture maintenance, Appliances maintenance, Windows maintenance, Lighting maintenance, HVAC maintenance, Restroom maintenance, Kitchen maintenance, Office supply maintenance, Purchasing, Inventory management"
https://www.linkedin.com/jobs/view/dentists-at-gotham-enterprises-ltd-3791140725,"Dentistry, Oral health, Patient care, Infection control, HIPAA compliance, Patient satisfaction, Communication skills, Bedside manner, Manual dexterity, Teamwork, Continuing education, Dental insurance, Vision insurance, 401(k) plan, Paid time off, Doctor of Dental Surgery (DDS), Doctor of Dental Medicine (DMD), Active state dental license, 1 year of clinical experience"
https://www.linkedin.com/jobs/view/first-year-tax-professional-at-h-r-block-3677145237,"Customer service, Tax preparation, Retail, Sales, Marketing, Communication, Teamwork, Collaboration, Time management, Problemsolving, Attention to detail, Accuracy, High school diploma or equivalent, H&R Block Income Tax Course completion, 3 hours of continuing education, IRS and state requirements"
https://www.linkedin.com/jobs/view/dance-instructor-at-fred-astaire-dance-studio-3798586065,"Dance instruction, Customer service, Teamwork, Selfmotivation, Positivity, Physical fitness, Interpersonal skills, Communication, Professional development, Dance curriculum, Dance coaching, Dance business skills, Management, Competition, Performance, Travel, Salary, Bonuses, PTO, Vacation, Continuing education, Health and wellness benefits"
https://www.linkedin.com/jobs/view/hourly-supervisor-and-training-at-walmart-3684045007,"Communication, Leadership, Training, Inventory Management, Problem Solving, Customer Service, Teamwork, Planning, Organization, Time Management, Basic Math"
https://www.linkedin.com/jobs/view/real-estate-agent-associate-investment-sales-aus-at-matthews-real-estate-investment-services%E2%84%A2-3445829597,"Sales, Commercial Real Estate Analysis, Brokerage, CRM System, Prospecting, Effective Communication, Mathematics, Financial Analysis, Business Planning, Bachelor's Degree in Business, Sales Experience, Strong Work Ethic, Teamplayer, Coachable, Analytical Skills, Collaboration, Independence"
https://www.linkedin.com/jobs/view/community-manager-at-allied-orion-group-3802696960,"Multifamily Property Management, Property Leasing, Property Marketing, Resident Relations, Income Generation, Expense Control, Financial Reporting, Team Leadership, Communication, Customer Service, Microsoft Office Suite (Word Excel PowerPoint), Property Management Software, Fair Housing Laws, OSHA Requirements, EEOC Laws, Local City and State Ordinances"
https://www.linkedin.com/jobs/view/slp-at-fusion-medical-staffing-3799882252,"Speech Language Pathologist, Pathology, Critical thinking, Service excellence, Interpersonal communication, PC skills, Medical Dental and Vision, 401(k), Paid Time Off (PTO), Short term disability, Aetna, MEDITECH, naviHealth  nH Discharge, Press Ganey"
https://www.linkedin.com/jobs/view/production-supervisor-onsite-at-energy-jobline-3802687990,"Production Supervision, Leadership, Manufacturing, Lean Six Sigma, Data Analytics, Effective Communication, Talent Development, Network Building, Forecasting, Scheduling, Training, Quality Control, Salesforce, Bachelors Degree, 4 Years of Experience, Health Insurance, Vision Insurance, Dental Insurance, 401K, Tuition Reimbursement, Employee Assistance Program, Wellbeing Program, Employee Stock Purchase Program, Medical and Prescription Drug Insurance, Critical Illness Insurance, Accident Insurance, Hospital Indemnity Insurance, Personalized Healthcare Support, Tobacco Cessation Program, Health Savings Account (HSA), Flexible Spending Accounts (FSAs)"
https://www.linkedin.com/jobs/view/licensed-marriage-and-family-therapist-lmft-at-gotham-enterprises-ltd-3766227144,"Licensed Marriage and Family Therapist (LMFT), Master's degree in Marriage and Family Therapy, Communication skills, Interpersonal skills, Empathy, Sympathy, Nonjudgmental approach, Organizational skills, Time management skills, Caseload management, Administrative tasks, Annual salary: $70000$100000, Paid time off, Retirement benefits, Health insurance, Professional advancement, Addiction treatment training, Supportive work environment, Ongoing guidance and instruction"
https://www.linkedin.com/jobs/view/long-term-travel-pcu-step-down-rn-24148037expplat-at-travelnursesource-3798021440,"RN, Long Term Travel, PCU, Step Down, Medical, Dental, Vision Insurance, 401(k) Savings Program, Licensure and Credential Reimbursement, Professional Liability / Malpractice Coverage, Weekly Pay with Direct Deposit, Tax Free Per Diems, Furnished Housing, Honesty, Integrity, Specialized Care, Collaboration, Patient Safety, HighQuality Outcomes, Contracted Travel Position, Competitive Pay for Referrals"
https://ca.linkedin.com/jobs/view/security-analyst-bhjob13022-13054-at-ignite-technical-resources-3799538071,"Security Analyst, Security Operations, Ticket and Problem Management, Security Tool Management, Project Contribution, Risk Management, Vulnerability Assessment, Incident Management, Disaster Recovery, IT Auditing, Security Training, Cyber Security Frameworks (NIST MITRE), Cisco Networks, SSLVPNs, Firewalls, Voice/Data, Security Tools, Proxy Management, EDR Products, SIEM, Azure & AWS Security Tools, Corporate Phone, Emergency Support, University Degree, College Diploma, Security IT Industry Experience, Network Security, Systems Security, Financial Industry Experience, Professional Designation (CISM CISSP CISA), Communication Skills, Collaboration Skills, Troubleshooting, Implementation"
https://www.linkedin.com/jobs/view/key-holder-east-point-ga-at-rue21-3802202053,"Sales Associate, Communication, Feedback, Coaching, Problem Solving, Merchandise Display, POS systems, Product management, Customer Service, Teamwork, Retail Operations, Safety Protocols, Inventory Management, Sales Processing, Flexible Availability, Physical Stamina, Attention to Detail, Adaptability, Leadership, Multitasking, Cash Handling, Conflict Resolution, Trend Analysis, Visual Merchandising, Collaboration, Time Management, Standing, Lifting, Walking"
https://www.linkedin.com/jobs/view/travel-pcu-nurse-job-%242-411-wk-%242-594-wk-at-aya-healthcare-3803213523,"Telemetry, Dysrhythmia Interpretation, Dysrhythmia Management, Heparin Protocols, PatientControlled Analgesia (PCA), Orthopedic Trauma, Wound Care, Wound Vacuum, ACLS Certification, BLS Certification, 1 Year of Experience, Medical Dental Vision and Life Insurance, 401(k) Match, Paid Company Housing/Stipend, Paid Sick Time, Clinical Ladder Program for RNs, Continuing Education Units"
https://www.linkedin.com/jobs/view/shift-manager-at-mcdonald-s-3685790974,"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Crew Management, Food Production, Exceptional Customer Service, Retail, Hospitality"
https://ca.linkedin.com/jobs/view/building-operator-at-allied-properties-reit-3792239012,"Building Operations, HVAC, Plumbing, Electrical, Fire Alarm, CAD, MS Office (Word/Excel), Yardi FM, Provincial Building Code & Regulations, Canadian Electrical Code, Provincial Fire Code and Electrical Safety Authority, Occupational Health and Safety Act, Workplace Hazardous Materials Information Systems (WHMIS), First Aid and CPR, Building Environmental Systems: MMF BES I & II SMA/SMT, 4th Class Power Engineer, Life safety, BBN, OT, Energy management practices, Heat transfer principles, Sustainability, Time management, Communication, Customer service, Collaboration, Teamwork, Decisionmaking, Detailoriented, Organization, Adaptability, Computer literacy, Valid driver's license"
https://www.linkedin.com/jobs/view/welding-inspector-at-miller-brother-staffing-solutions-3795102228,"Welding Inspection, ASME, MIG welding, Blueprint reading, Measurement tools, Document management, Audit Management, Hand tools, Forklift operation, Overhead crane operation, Jib crane operation, Pickup truck with trailer operation, ASME codes, NBIC codes"
https://www.linkedin.com/jobs/view/graduate-nurse-associate-cardiology-at-covenant-health-3648902968,"Nursing, Patient care, Critical skills, Temperature taking, Pulse taking, Respiration taking, Blood pressure taking, Weight taking, Height taking, Intakeoutput measurements, Oxygen saturation monitoring, Infection control, Standard precautions, Transmissionbased isolation precautions, OSHA standards, Safety measures, Body mechanics, Patient comfort, Patient privacy, Nutrition assistance, Hydration assistance, Drain emptying, Canister emptying, Urine bag emptying, Bedpan emptying, Emesis basin emptying, Intake and output recording, Clean patient environment, Orderly patient environment, Clean work environment, Orderly work environment, Nursing history taking, Therapeutic communication, Patient record documentation, Charting, Admission history taking, Basic observations, RN guidance, Significant change reporting, RN signature obtaining, Task completion, Supervision, Guidance seeking, Suggestion communication, Complaint communication, Cooperation, Flexibility, Positive behavior, Stress performance, Policy following, Procedure following, Safety standard following, Education assignment completion, Goal achievement, Objective achievement, Quality improvement participation, Duty performance, Registered nursing education, Licensure application, Licensure fulfillment, Nursing Boards approval, Nursing assistant work, Hospital experience, Computer operation, Interpersonal skills, CPR"
https://www.linkedin.com/jobs/view/quality-inspector-at-pds-defense-3801107071,"Manufacturing, A330 work package, Inspection, Quality control, Data capture, Engineering support, SOPs, LAI"
https://www.linkedin.com/jobs/view/senior-manager-indirect-procurement-at-michael-page-3798614373,"Strategic Procurement, Leadership Experience, Stakeholder Management, Vendor Management, SOP Identification, SOP Advising, SOP Implementation"
https://www.linkedin.com/jobs/view/prime-design-group-team-leader-at-kpff-consulting-engineers-3786818077,"Civil Engineering, Structural Engineering, Project Management, Team Leadership, Client Relations, Bluebeam, MS Project, AutoCAD, Revit, MS Office, Construction Drawings, Entitlement Processes, Design Reviews, Quality Control, Quality Assurance, 401(k) Retirement Savings Plan, Medical Insurance, Dental Insurance, Health Reimbursement Account (HRA), Health Savings Account (HSA), Flexible Spending Accounts (FSA), Life Insurance, KPFF Paid Family Leave, Shortterm and Longterm Disability Insurance, Paid Holidays, Paid Time Off (Vacation Sick Jury Duty), Bonus Program, Family Flexibility, Work/Life Balance, Competitive Salary, Hourly Pay"
https://www.linkedin.com/jobs/view/restaurant-manager-at-goodwin-recruiting-3755190207,"Restaurant Management, Guestfocused service, Leadership, Business acumen, Training and development, Team building, Operations management, Diversity and Inclusion, Communication, Problemsolving, Decisionmaking, Time management, Organizational skills"
https://www.linkedin.com/jobs/view/licensed-marriage-and-family-therapist-lmft-at-gotham-enterprises-ltd-3796350243,"LMFT license, Oklahoma, Counseling, Social work, Psychology, Mental health, Caseload management, Scheduling, Written communication, Verbal communication, Healthcare stipend, Flexible schedule"
https://www.linkedin.com/jobs/view/field-service-specialist-at-national-engineering-3798852169,"Travel, Installation, Maintenance, Repair, International travel, Customer requests, Emergency services, 24x7 ""On Call"" support, Scheduling, Commissioning, Qualification, Testing, Troubleshooting, Calibration, OSHA, NPFA, Materials management, Spare parts management, Equipment builds, Customer training, Technical support, Writing, Editing, Templates, Operating procedures, Manuals, Electromechanical, Electrical, Electronic, Military training, Field service, Factory automation, Semiconductor, Electronics devices production, PLC programming, HMI programming, Passport, Driver's license, US Citizen or Green Card"
https://www.linkedin.com/jobs/view/first-year-tax-professional-at-h-r-block-3749900320,"Tax preparation, Customer service, Sales, Marketing, Teamwork, Communication, Time management, Attention to detail, Problemsolving, IRS and state tax requirements, H&R Block Income Tax Course, Microsoft Office"
https://www.linkedin.com/jobs/view/assistant-front-end-mgr-at-weis-markets-3771019836,"Customer relations, Assists Front End Manager, Ensures cash handling control, Enforces company policies/procedures, Audits on cashiers, Onboarding front end sales associates, Trains associates, Utilizes Learning Management System (LMS), Utilizes autoscheduler system, Controls supply costs, Directs the flow of customers, Oversees lot attendant service, Operates frontend scanning equipment, Assists customer service with answering phone calls, Maintains functionality of equipment hardware and software, Communicates special promotions/sale items, Attends store’s daily huddles, Customer questions, Safety and sanitation, Cooperates with coworkers and superiors, Supervises associates, Equal Opportunity Employer"
https://uk.linkedin.com/jobs/view/chef-de-partie-at-restaurant-associates-uk-3788421935,"Chef de Partie, Food Preparation, Communication, Product Knowledge, Food Hygiene, Health and Safety, Initiative, Customer Service, Problem Solving, Teamwork, Time Management, Safety, Passion for Food"
https://www.linkedin.com/jobs/view/resident-manager-at-the-salvation-army-usa-eastern-territory-3681869750,"Resident management, Crisis management, Case management, CPR certification, PC skills, Outlook, Word, Internet navigation, Communication, Teamwork, Conflict resolution, Problemsolving, Recordkeeping, Planning, Scheduling, Supervision, Education, Community outreach, Cultural competence"
https://www.linkedin.com/jobs/view/senior-analyst-auditor-at-prgx-global-inc-3774250485,"Auditing, AR, AP, Procurement, Microsoft Office, Excel, Access, PowerPoint, Database, Queries, Pivot tables, Project Tools, Commercial Recovery Productivity, Accounting, Data Analysis"
https://uk.linkedin.com/jobs/view/oncology-nurse-at-leaders-in-care-3792130743,"Oncology, Nursing, Patient Care, Assessment, Planning, Implementation, Evaluation, Safe Practice, Professional Conduct, LifeThreatening Situations, Workload Organization, Clinical Priorities, Multidisciplinary Teamwork, Effective Care, Treatment, Nursing Records, Legal Implications, Registered General Nurse, NMC Registration, PostRegistration Oncology Experience, EvidenceBased Knowledge, General Nursing, Oncology, Haematology, Chemotherapy, Cannulation, Venepuncture, SACT Passport"
https://www.linkedin.com/jobs/view/general-dentist-temporary-at-mortenson-dental-partners-3713993652,"Dentistry, General Dentistry, EmployeeOwned, Dental Support, Private Practice, Team Work, Patient Care, Decision Making, Love, Diversity, Inclusion, Teamwork, Caring, Gratitude, Sharing, Relationship Building"
https://www.linkedin.com/jobs/view/mkk-airport-customer-service-agent-pt-at-southern-airways-express-3676349927,"Customer service, Communication skills, English proficiency, Professionalism, Conflict resolution, Detail orientation, High school diploma, Computer skills, Basic math, Ability to work within a 24/7 operation, Valid driver's license, Reliable transportation, Ability to pass background check and drug screen, 18 years of age or older, Authorized to work in the U.S., Physical dexterity, Vision, Ability to lift 70 pounds, Ability to stand for extended periods of time, Ability to work in all weather conditions, Ability to work in confined spaces, Machines Equipment and Tools, Computer, Phone, Photocopier, Fax machine"
https://www.linkedin.com/jobs/view/early-careers-risk-reinsurance-broking-at-aon-3719122672,"Client Management, Microsoft Office Suite, Excel, Word Processing, PowerPoint, Email, Internet tools, Communication, Oral Communication, Written Communication, Analytical Skills, Problem Solving, Team Environment, Research, Critical Thinking, Computer Skills, Basic Understanding of Claims Administration Process, Strong Knowledge of Reinsurance, Strategic Engagement, Business Development, Sales, Account Management, Bachelor's Degree, Business, Finance, Economics, Statistics, Mathematics, Risk Management, Insurance, Political Science, GPA of 3.0 or above, Risk Solutions, Reinsurance, Reinsurance Market, Reinsurance Industry, Insurance Underwriters, Account Management, Insurance Carriers, Intermediaries, Product Development, Business Relationships, Data Gathering, Data Analysis, Exposure Data, Loss History, Coverage Needs, Client Service Plans, Stewardship Reports, Presentations, Renewal Process, Quote Comparisons, Binders, Policies, Endorsements, Certificate Management, Auto IDs, Location Additions, Invoices, Workers' Compensation posting notices, Allocations, Premium Finance Agreements, Summaries of Insurance, Policy Transmittals, Broking Status, Continuous Support, Verbal Presentation Skills, Negotiation Skills, Billing, Policy Collection, Reviewal, Transmittals, Catastrophe Modeling, Treaty, Actuarial, Contract Wording"
